id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating
0,HP,14s-dy2506TU,1.46,8.0,38990,,,,14.015748031496063,3.7,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0447151V9B07ZBYFE2A&url=%2FHP-Micro-Edge-Anti-Glare-Display-Graphics%2Fdp%2FB09MH9M5CV%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-1-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_atf,https://images-eu.ssl-images-amazon.com/images/I/51mDPrTCtgL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
1,Lenovo,,1.2,4.0,23890,,,8.0,11.6,2.8,4.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07647221B5JMG1AVRRY2&url=%2FLenovo-IdeaPad-Celeron-Platinum-81VT009UIN%2Fdp%2FB09V7ZJYBN%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-2-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_atf,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,3.8 out of 5 stars
2,ASUS,,1.8,4.0,26990,4.0,256.0,6.0,17.79527559055118,2.8,8.0,https://amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?keywords=laptop&qid=1656489478&sr=8-3,https://images-eu.ssl-images-amazon.com/images/I/414057taYKL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
3,HP,,3.0,,19999,,,2.0,15.6,2.2,16.0,https://amazon.in/Renewed-HP-650-Generation-Warranty/dp/B0B4VT8J6D/ref=sr_1_omk_4?keywords=laptop&qid=1656489478&sr=8-4,https://m.media-amazon.com/images/I/41+dy19aYEL._SY300_SX300_.jpg,
4,Lenovo,,1.2,4.0,23890,,,8.0,11.6,2.8,4.0,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT009UIN/dp/B09V7ZJYBN/ref=sr_1_5?keywords=laptop&qid=1656489478&sr=8-5,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,3.8 out of 5 stars
5,HP,,2.8,8.0,29696,,1024.0,,15.6,2.6,8.0,https://amazon.in/HP-3-3250U-Graphics-64Q84PA-ACJ/dp/B09RMQXSZT/ref=sr_1_6?keywords=laptop&qid=1656489478&sr=8-6,https://images-eu.ssl-images-amazon.com/images/I/41zST01y9kL._SY300_SX300_QL70_ML2_.jpg,3.8 out of 5 stars
6,HP,,1.8,8.0,40845,,512.0,4.0,15.0,3.0,16.0,https://amazon.in/HP-15s-11th-Micro-Edge-Anti-Glare-Graphics/dp/B09S3S2DZV/ref=sr_1_7?keywords=laptop&qid=1656489478&sr=8-7,https://images-eu.ssl-images-amazon.com/images/I/41KupVQ5l6L._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
7,Dell,,1.6800000000000002,8.0,32700,,,,15.6,2.3,16.0,https://amazon.in/Dell-Inspiron-Office21-Graphics-D560766Win9Be/dp/B09TNWYR3Q/ref=sr_1_8?keywords=laptop&qid=1656489478&sr=8-8,https://images-eu.ssl-images-amazon.com/images/I/41sMHxpOBgL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
8,Dell,,1.6099999999999999,8.0,33390,,,,,1.1,32.0,https://amazon.in/Dell-Inspiron-Pqc-N5030-Office21-D560756Win9Be/dp/B09TNX9B9F/ref=sr_1_9?keywords=laptop&qid=1656489478&sr=8-9,https://images-eu.ssl-images-amazon.com/images/I/41e6THlQznL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
9,MI,,1.4,16.0,57990,,,,15.984251968503937,3.1,16.0,https://amazon.in/Notebook-Display-i5-11300H-Graphics-Fingerprint/dp/B098XL8VSM/ref=sr_1_10?keywords=laptop&qid=1656489478&sr=8-10,https://images-eu.ssl-images-amazon.com/images/I/41Ix2JelnmL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
