id,image_url,brand,manufacturer,product,product_url,price,resolution,connector_type,rating,standing_screen_display_size,display_technology,display_type,number_of_items,operating_system,mounting_hardware,item_weight,model_year,refresh_rate,power_source,batteries_required,speaker_surround_sound_channel_configuration,country_of_origin,item_model_number,model,product_dimensions,hardware_interface,supported_audio_format,image_aspect_ratio,remote_control_included?,mounting_type,audio_wattage,supports_bluetooth_technology,ram_memory_installed_size,wattage,supported_image_type,graphics_coprocessor,batteries_included,model_name,remote_control_description,tuner_technology,total_usb_ports,viewing_angle,screen_resolution,voltage,audio_output_mode,maximum_operating_distance,batteries,remote_control_type,battery_cell_composition,special_features,memory_storage_capacity,image_contrast_ratio,response_time,media_format,includes_rechargable_battery,image_brightness,real_angle_of_view
0,https://m.media-amazon.com/images/I/41Y+SwHCJzL._SX300_SY300_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A072245884IUQUZQA39R&url=%2FAmazonBasics-139cm-inch-Ultra-Smart%2Fdp%2FB087JYRGDG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-1-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf,"36,499",3840x2160 Pixels,Wi-Fi,4.0 out of 5 stars,55 Inches,LED,LED,1.0,FireOS,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",10 kg 300 g,2020.0,60 Hz,AC,Yes,Surround Sound,India,AB55U20PS,AB55U20PS,123.6 x 9.2 x 72.4 cm; 10.3 Kilograms,"USB, HDMI","Dolby Digital, Dolby Digital + and Dolby Atmos, WMA, MP3_audio",,,Wall Mount,,Yes,1.5 GB,,JPEG,MaliG31 MP2,,,,,,,3840 x 2160 pixels,,Surround,,,,,,,,,,,,
1,https://images-eu.ssl-images-amazon.com/images/I/51sEyJDUxUL._SY300_SX300_QL70_ML2_.jpg,CROMA,Veira Electronics Pvt.Ltd,Croma 80 cm (32 Inches) HD Ready Certified Android Smart LED TV CREL032HOF024601 (Black) (2022 Model)  ,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A100700211QBJ7DSEX052&url=%2FCroma-Inches-Certified-Android-CREL032HOF024601%2Fdp%2FB09X6W3TRF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-2-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf,"12,490",1366768 Pixels,HDMI,4.4 out of 5 stars,32 Inches,LED,LED,1.0,Android,"1 LED TV, 2 Table Top Stand, 1 User Manual, 1 Remote Control, 1 Wall Mount",6 kg 500 g,2022.0,60 Hz,Corded Electric,Yes,2.0,India,CREL032HOF024601,CREL032HOF024601,8.51 x 72.01 x 42.01 cm; 6.5 Kilograms,"USB, HDMI",,16:9,Yes,Wall Mount and Table Mount,20 Watts,,1 GB,,,,Yes,,,,2.0,178 Degrees,1366 x 768 pixels,,Surround,,2 AAA batteries required. (included),,Alkaline,,8 GB,3000:01,,,,,
2,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,https://amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_3?keywords=tv&qid=1660812281&sr=8-3,"14,999",1366 x 768 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.2 out of 5 stars,32 Inches,LED,A+,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",3 kg 920 g,2021.0,60 Hz,AC,Yes,Dolby Audio | DTS Virtual: X | DTS-HD,India,L32M6-RA/L32M7-RA,L32M6-RA/L32M7-RA,73 x 8.7 x 47.6 cm; 3.92 Kilograms,"AV Port, Ethernet, HDMI, Headphone, USB 2.0","Dolby, DTS-HD, Mp3_audio",16:09,Yes,Wall Mount,20 Watts,Yes,1 GB,50 Watts,JPEG,Mali G31 MP2,No,Redmi Smart TV 32,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,NTSC,2.0,178 Degrees,1366 x 768 pixels,240 Volts,Stereo,8 Feet,2 AAA batteries required.,Bluetooth,,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,8 GB,,,"AVI, MPEG",,Ultra Bright Screen,178 Degrees
3,https://m.media-amazon.com/images/I/41fVP+e7CzS._SY300_SX300_.jpg,OnePlus,Radiant Appliances and Electronics Pvt. Ltd.,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)  ,https://amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_5?keywords=tv&qid=1660812281&sr=8-5,"14,999",1366x768 Pixels,Wi-Fi,4.2 out of 5 stars,32 Inches,LED,LED,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control, 1AC Cord, 2 AAA Battery",3 kg 500 g,2020.0,60 Hz,AC,No,Dolby Audio,India,32Y1,32Y1,6.5 x 42 x 71.3 cm; 3.5 Kilograms,"USB, HDMI","Mp3_audio, Wma",,Yes,Wall Mount,20 Watts,Yes,1 GB,20.00,JPEG,Mali470 Triple core,No,32Y,One Click Amazon Prime Video Button Remote OnePlus Connect | Google Assistant,PAL/DVB-T/DVB-T2,2.0,178 Degrees,1366 x 768 pixels,,Surround,9 Feet,2 AAA batteries required.,"IR, Bluetooth",Alkaline,,,5000:1,,"AVI, DVD, MPEG, WAV, WMA",,High brightness,
4,https://images-eu.ssl-images-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_ML2_.jpg,MI,DIXON TECHNOLOGIES (INDIA) LIMITED,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black)  ,https://amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_6?keywords=tv&qid=1660812281&sr=8-6,"22,999",1920x1080 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.3 out of 5 stars,43 Inches,LED,Dynamic Backlight,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",5 kg 480 g,2021.0,60 Hz,AC,Yes,DTS-HD,,L43M6-INC,L43M6-INC,96.7 x 8.3 x 56 cm; 5.48 Kilograms,"USB, HDMI","Mp3_audio, Wma",16:09,Yes,,20 Watts,Yes,1 GB,75 Watts,JPEG,Mali-450,No,Mi TV 4C 43,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Netflix and Prime Video buttons,NTSC,,,1920 x 1080 pixels,240 Volts,Stereo,,,,,,,,,,,,
5,https://images-eu.ssl-images-amazon.com/images/I/51iQQPQSiGL._SX300_SY300_QL70_ML2_.jpg,TOSHIBA,DIXON TECHNOLOGY (INDIA) LIMITEDSHED,Toshiba 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35KP (Silver)  ,https://amazon.in/Toshiba-inches-Android-43V35KP-Silver/dp/B0B21XL94T/ref=sr_1_7?keywords=tv&qid=1660812281&sr=8-7,"22,990",1920x1080 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.4 out of 5 stars,43 Inches,LED,A+,1.0,Android,"1 LED TV, 1 Remote, 1 Table Top Stand, 1 Wall Mount Bracket, 1 Power Cable, 2 AAA Battery, 1 User Manual, 1 Warranty Card",6 kg 500 g,2022.0,60 Hz,AC,Yes,DTS Virtual X,India,43V35KP,43V35KP,37.6 x 7.9 x 23.9 cm; 6.5 Kilograms,"Bluetooth 4.0, HDMI, 2.5mm Audio, USB 2.0","Mp3_audio, Wma",16:09,Yes,Wall Mount & Table Mount,20 Watts,Yes,1 GB,75 Watts,"GIF, JPEG",G31 MP2@550MHZ,Yes,43V35KP,"One Click XYZ Play Store, SonyLiv | Google Assistant | With Voice Assitant",DVB-T2,2.0,178 Degrees,1920 x 1080 pixels,230 Volts,Stereo,9 Feet,,"IR, Bluetooth",Alkaline,"Official Android TV 11(R) | Built-in Assistant | RAM: 1GB | ROM 8 GB | Quad Core | Supported Apps : Netflix, Prime Video, Disney+ Hotstar etc on Official Play Store",8 GB,3000:1,8 Milliseconds,"MPEG, AVI",No,High Brightness,178 Degrees
6,https://images-eu.ssl-images-amazon.com/images/I/41592QY1UkL._SY300_SX300_QL70_ML2_.jpg,OnePlus,Radiant Appliances and Electronics Pvt. Ltd.,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black)  ,https://amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=sr_1_8?keywords=tv&qid=1660812281&sr=8-8,"29,999",3840x2160 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.3 out of 5 stars,43 Inches,LED,HDR10+ HDR10 | HLG,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control,1 AV IN Adapter, 1AC Cord, 2 AAA Battery",6 kg,2022.0,60 Hz,AC,Yes,Dolby Audio,India,43 Y1S Pro,43 Y1S Pro,106 x 14.1 x 63 cm; 6 Kilograms,"USB, HDMI","Mp3_audio, Wma",16:09,Yes,,24 Watts,Yes,2 GB,120 Watts,"GIF, JPEG",G52 MC1,No,43 Y1S Pro,One Click Amazon Prime Video Button Remote OnePlus Connect | Google Assistant | With Voice Assitant,DVB-T,,,3840 x 2160 pixels,180 Volts,,,,,,,,5000:1,8 Milliseconds,,,,
7,https://images-eu.ssl-images-amazon.com/images/I/41Q5zqyjWPL._SY300_SX300_QL70_ML2_.jpg,Karbonn,"Westway Electronics Limited, A001D, Sector-84, Noida, G.B Nagar, Uttar Pradesh, 201305",Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,https://amazon.in/Karbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less/dp/B0B466C3G4/ref=sr_1_9?keywords=tv&qid=1660812281&sr=8-9,"8,990",1366x768 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.4 out of 5 stars,32 Inches,LED,A+,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",4 kg 400 g,2021.0,60 Hz,AC,Yes,Sorround,India,KJW32SKHD,KJW32SKHD,72.2 x 8 x 42.5 cm; 4.4 Kilograms,"USB, HDMI","Mp3_audio, Wma",16:09,Yes,Wall Mount & Table Mount,20 Watts,No,1 GB,60 Watts,"GIF, JPEG",Mali-G31MP2,Yes,KJW32SKHD,Navigation Keys for Easy Access,NTSC,2.0,178 Degrees,,110 Volts,,9 Feet,2 AAA batteries required. (included),IR,Manganese,"Prime Video, Inbuilt App Store, SonyLiv, Youtube, Hotstar, Android 9 (GOS), In-built Apps Store, Screen Sharing, Remote with Hotkeys, Movie Box | Supported Apps : Netflix",8 GB,3000:1,8 Milliseconds,"AVI, MPEG",No,High brightness,178 Degrees
8,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,MI,Dixon Technologies (India) Limited,Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black)  ,https://amazon.in/inches-Ready-Smart-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_10?keywords=tv&qid=1660812281&sr=8-10,"13,999",1366 x 768 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.3 out of 5 stars,32 Inches,LED,LED,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws, 2 x AAA Batteries",4 kg,2022.0,60 Hz,AC,Yes,Dolby Audio | DTS Virtual: X,India,L32M7-5AIN,L32M7-5AIN,71.6 x 8.3 x 42.4 cm; 4 Kilograms,"Ethernet, HDMI, 3.5mm Audio, USB 2.0, Bluetooth 5","Mp3_audio, Wma",16:09,Yes,Wall Mount,20 Watts,Yes,1 GB,50 Watts,"GIF, JPEG",Mali G31 MP2,Yes,Xiaomi TV 5A 32,"Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix, Prime Video, Disney+Hotstar and Apps buttons",NTSC,2.0,178 Degrees,,240 Volts,,9 Feet,2 AAA batteries required. (included),"IR, Bluetooth",Alkaline,"Android TV 11 | PatchWall | IMDb Integration | Universal Search | 300+ Free Live Channels | Kids Mode with Parental lock | Smart Recommendations | Language Universe  15+ Languages | User Centre | Okay Google | Chromecast suporting Apps : Netflix, Prime Video, Disney+ Hotstar | 5000+ apps from Play Store |Quad core Cortex A35 | Chromecast built-in | Ok Google | Auto Low Latency Mode | 1GB RAM + 8GB Storage",8 GB,,,"AVI, MPEG",No,High Brightness,178 Degrees
9,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-11-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_mtf,"14,999",1366 x 768 Pixels,"Wi-Fi, USB, Ethernet, HDMI",4.2 out of 5 stars,32 Inches,LED,A+,1.0,Android,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",3 kg 920 g,2021.0,60 Hz,AC,Yes,Dolby Audio | DTS Virtual: X | DTS-HD,India,L32M6-RA/L32M7-RA,L32M6-RA/L32M7-RA,73 x 8.7 x 47.6 cm; 3.92 Kilograms,"AV Port, Ethernet, HDMI, Headphone, USB 2.0","Dolby, DTS-HD, Mp3_audio",16:09,Yes,Wall Mount,20 Watts,Yes,1 GB,50 Watts,JPEG,Mali G31 MP2,No,Redmi Smart TV 32,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,NTSC,2.0,178 Degrees,1366 x 768 pixels,240 Volts,Stereo,8 Feet,2 AAA batteries required.,Bluetooth,,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,8 GB,,,"AVI, MPEG",,Ultra Bright Screen,178 Degrees
