,id,image_url,Brand,Manufacturer,Model,Model Year,Product Dimensions,Item model number,Ram Memory Installed Size,Operating System,Hardware Interface,Graphics Coprocessor,Resolution,Mounting Hardware,Number Of Items,Display Technology,Standing screen display size,Display Type,Supported Image Type,Screen Resolution,Audio Output Mode,Supported Audio Format,Speaker Surround Sound Channel Configuration,Power Source,Batteries Required,Refresh Rate,Connector Type,Mounting Type,Supports Bluetooth Technology,Country of Origin,Item Weight,product,rating,price,product_url,Batteries,Memory Storage Capacity,Viewing Angle,Image Aspect Ratio,Image Contrast Ratio,Audio Wattage,Batteries Included,Battery Cell Composition,Total Usb Ports,Remote Control Included?,Model Name,Tuner Technology,Special Features,Remote Control Description,Remote Control Type,Image Brightness,Voltage,Wattage,Maximum Operating Distance,Real Angle Of View,Media Format,Response Time,Includes Rechargable Battery,Compatible Devices,GSM frequencies,Processor Count,Aspect Ratio,Battery Power Rating,Digital Storage Capacity,Max Resolution,Package Dimensions,Battery Description,Battery Capacity,Audio Encoding,Audio Input,Imported By,Speakers Maximum Output Power,Speaker Connectivity,Contains Liquid Contents,Item part number,Maximum Memory Supported
0,0,https://m.media-amazon.com/images/I/41Y+SwHCJzL._SX300_SY300_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",AB55U20PS,2020.0,123.6 x 9.2 x 72.4 cm; 10.3 Kilograms,AB55U20PS,1.5 GB,FireOS,"USB, HDMI",MaliG31 MP2,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1.0,LED,55 Inches,LED,JPEG,3840 x 2160 pixels,Surround,"Dolby Digital, Dolby Digital + and Dolby Atmos, WMA, MP3_audio",Surround Sound,AC,Yes,60 Hz,Wi-Fi,Wall Mount,Yes,India,10 kg 300 g,AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"36,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A072245884IUQUZQA39R&url=%2FAmazonBasics-139cm-inch-Ultra-Smart%2Fdp%2FB087JYRGDG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-1-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,https://images-eu.ssl-images-amazon.com/images/I/51sEyJDUxUL._SY300_SX300_QL70_ML2_.jpg,CROMA,Veira Electronics Pvt.Ltd,CREL032HOF024601,2022.0,8.51 x 72.01 x 42.01 cm; 6.5 Kilograms,CREL032HOF024601,1 GB,Android,"USB, HDMI",,1366768 Pixels,"1 LED TV, 2 Table Top Stand, 1 User Manual, 1 Remote Control, 1 Wall Mount",1.0,LED,32 Inches,LED,,1366 x 768 pixels,Surround,,2.0,Corded Electric,Yes,60 Hz,HDMI,Wall Mount and Table Mount,,India,6 kg 500 g,Croma 80 cm (32 Inches) HD Ready Certified Android Smart LED TV CREL032HOF024601 (Black) (2022 Model)  ,4.4 out of 5 stars,"12,490",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A100700211QBJ7DSEX052&url=%2FCroma-Inches-Certified-Android-CREL032HOF024601%2Fdp%2FB09X6W3TRF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-2-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf,2 AAA batteries required. (included),8 GB,178 Degrees,16:9,3000:01,20 Watts,Yes,Alkaline,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,L32M6-RA/L32M7-RA,2021.0,73 x 8.7 x 47.6 cm; 3.92 Kilograms,L32M6-RA/L32M7-RA,1 GB,Android,"AV Port, Ethernet, HDMI, Headphone, USB 2.0",Mali G31 MP2,1366 x 768 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1.0,LED,32 Inches,A+,JPEG,1366 x 768 pixels,Stereo,"Dolby, DTS-HD, Mp3_audio",Dolby Audio | DTS Virtual: X | DTS-HD,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,3 kg 920 g,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_3?keywords=tv&qid=1660812281&sr=8-3,2 AAA batteries required.,8 GB,178 Degrees,16:09,,20 Watts,No,,2.0,Yes,Redmi Smart TV 32,NTSC,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,Bluetooth,Ultra Bright Screen,240 Volts,50 Watts,8 Feet,178 Degrees,"AVI, MPEG",,,,,,,,,,,,,,,,,,,,
3,3,https://m.media-amazon.com/images/I/41fVP+e7CzS._SY300_SX300_.jpg,OnePlus,Radiant Appliances and Electronics Pvt. Ltd.,32Y1,2020.0,6.5 x 42 x 71.3 cm; 3.5 Kilograms,32Y1,1 GB,Android,"USB, HDMI",Mali470 Triple core,1366x768 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control, 1AC Cord, 2 AAA Battery",1.0,LED,32 Inches,LED,JPEG,1366 x 768 pixels,Surround,"Mp3_audio, Wma",Dolby Audio,AC,No,60 Hz,Wi-Fi,Wall Mount,Yes,India,3 kg 500 g,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_5?keywords=tv&qid=1660812281&sr=8-5,2 AAA batteries required.,,178 Degrees,,5000:1,20 Watts,No,Alkaline,2.0,Yes,32Y,PAL/DVB-T/DVB-T2,,One Click Amazon Prime Video Button Remote OnePlus Connect | Google Assistant,"IR, Bluetooth",High brightness,,20.00,9 Feet,,"AVI, DVD, MPEG, WAV, WMA",,,,,,,,,,,,,,,,,,,,
4,4,https://images-eu.ssl-images-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_ML2_.jpg,MI,DIXON TECHNOLOGIES (INDIA) LIMITED,L43M6-INC,2021.0,96.7 x 8.3 x 56 cm; 5.48 Kilograms,L43M6-INC,1 GB,Android,"USB, HDMI",Mali-450,1920x1080 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1.0,LED,43 Inches,Dynamic Backlight,JPEG,1920 x 1080 pixels,Stereo,"Mp3_audio, Wma",DTS-HD,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",,Yes,,5 kg 480 g,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black)  ,4.3 out of 5 stars,"22,999",https://amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_6?keywords=tv&qid=1660812281&sr=8-6,,,,16:09,,20 Watts,No,,,Yes,Mi TV 4C 43,NTSC,,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Netflix and Prime Video buttons,,,240 Volts,75 Watts,,,,,,,,,,,,,,,,,,,,,,,
5,5,https://images-eu.ssl-images-amazon.com/images/I/51iQQPQSiGL._SX300_SY300_QL70_ML2_.jpg,TOSHIBA,DIXON TECHNOLOGY (INDIA) LIMITEDSHED,43V35KP,2022.0,37.6 x 7.9 x 23.9 cm; 6.5 Kilograms,43V35KP,1 GB,Android,"Bluetooth 4.0, HDMI, 2.5mm Audio, USB 2.0",G31 MP2@550MHZ,1920x1080 Pixels,"1 LED TV, 1 Remote, 1 Table Top Stand, 1 Wall Mount Bracket, 1 Power Cable, 2 AAA Battery, 1 User Manual, 1 Warranty Card",1.0,LED,43 Inches,A+,"GIF, JPEG",1920 x 1080 pixels,Stereo,"Mp3_audio, Wma",DTS Virtual X,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,6 kg 500 g,Toshiba 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35KP (Silver)  ,4.4 out of 5 stars,"22,990",https://amazon.in/Toshiba-inches-Android-43V35KP-Silver/dp/B0B21XL94T/ref=sr_1_7?keywords=tv&qid=1660812281&sr=8-7,,8 GB,178 Degrees,16:09,3000:1,20 Watts,Yes,Alkaline,2.0,Yes,43V35KP,DVB-T2,"Official Android TV 11(R) | Built-in Assistant | RAM: 1GB | ROM 8 GB | Quad Core | Supported Apps : Netflix, Prime Video, Disney+ Hotstar etc on Official Play Store","One Click XYZ Play Store, SonyLiv | Google Assistant | With Voice Assitant","IR, Bluetooth",High Brightness,230 Volts,75 Watts,9 Feet,178 Degrees,"MPEG, AVI",8 Milliseconds,No,,,,,,,,,,,,,,,,,,
6,6,https://images-eu.ssl-images-amazon.com/images/I/41592QY1UkL._SY300_SX300_QL70_ML2_.jpg,OnePlus,Radiant Appliances and Electronics Pvt. Ltd.,43 Y1S Pro,2022.0,106 x 14.1 x 63 cm; 6 Kilograms,43 Y1S Pro,2 GB,Android,"USB, HDMI",G52 MC1,3840x2160 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Warranty Card, 1 Remote Control,1 AV IN Adapter, 1AC Cord, 2 AAA Battery",1.0,LED,43 Inches,HDR10+ HDR10 | HLG,"GIF, JPEG",3840 x 2160 pixels,,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",,Yes,India,6 kg,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black)  ,4.3 out of 5 stars,"29,999",https://amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=sr_1_8?keywords=tv&qid=1660812281&sr=8-8,,,,16:09,5000:1,24 Watts,No,,,Yes,43 Y1S Pro,DVB-T,,One Click Amazon Prime Video Button Remote OnePlus Connect | Google Assistant | With Voice Assitant,,,180 Volts,120 Watts,,,,8 Milliseconds,,,,,,,,,,,,,,,,,,,
7,7,https://images-eu.ssl-images-amazon.com/images/I/41Q5zqyjWPL._SY300_SX300_QL70_ML2_.jpg,Karbonn,"Westway Electronics Limited, A001D, Sector-84, Noida, G.B Nagar, Uttar Pradesh, 201305",KJW32SKHD,2021.0,72.2 x 8 x 42.5 cm; 4.4 Kilograms,KJW32SKHD,1 GB,Android,"USB, HDMI",Mali-G31MP2,1366x768 Pixels,"1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1.0,LED,32 Inches,A+,"GIF, JPEG",,,"Mp3_audio, Wma",Sorround,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,No,India,4 kg 400 g,Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/Karbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less/dp/B0B466C3G4/ref=sr_1_9?keywords=tv&qid=1660812281&sr=8-9,2 AAA batteries required. (included),8 GB,178 Degrees,16:09,3000:1,20 Watts,Yes,Manganese,2.0,Yes,KJW32SKHD,NTSC,"Prime Video, Inbuilt App Store, SonyLiv, Youtube, Hotstar, Android 9 (GOS), In-built Apps Store, Screen Sharing, Remote with Hotkeys, Movie Box | Supported Apps : Netflix",Navigation Keys for Easy Access,IR,High brightness,110 Volts,60 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,Android,60 Hz,,,,,,,,,,,,,,,,
8,8,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg,MI,Dixon Technologies (India) Limited,L32M7-5AIN,2022.0,71.6 x 8.3 x 42.4 cm; 4 Kilograms,L32M7-5AIN,1 GB,Android,"Ethernet, HDMI, 3.5mm Audio, USB 2.0, Bluetooth 5",Mali G31 MP2,1366 x 768 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws, 2 x AAA Batteries",1.0,LED,32 Inches,LED,"GIF, JPEG",,,"Mp3_audio, Wma",Dolby Audio | DTS Virtual: X,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,4 kg,Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black)  ,4.3 out of 5 stars,"13,999",https://amazon.in/inches-Ready-Smart-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_10?keywords=tv&qid=1660812281&sr=8-10,2 AAA batteries required. (included),8 GB,178 Degrees,16:09,,20 Watts,Yes,Alkaline,2.0,Yes,Xiaomi TV 5A 32,NTSC,"Android TV 11 | PatchWall | IMDb Integration | Universal Search | 300+ Free Live Channels | Kids Mode with Parental lock | Smart Recommendations | Language Universe  15+ Languages | User Centre | Okay Google | Chromecast suporting Apps : Netflix, Prime Video, Disney+ Hotstar | 5000+ apps from Play Store |Quad core Cortex A35 | Chromecast built-in | Ok Google | Auto Low Latency Mode | 1GB RAM + 8GB Storage","Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix, Prime Video, Disney+Hotstar and Apps buttons","IR, Bluetooth",High Brightness,240 Volts,50 Watts,9 Feet,178 Degrees,"AVI, MPEG",,No,,,1.0,16:9,,,,,,,,,,,,,,
9,9,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,L32M6-RA/L32M7-RA,2021.0,73 x 8.7 x 47.6 cm; 3.92 Kilograms,L32M6-RA/L32M7-RA,1 GB,Android,"AV Port, Ethernet, HDMI, Headphone, USB 2.0",Mali G31 MP2,1366 x 768 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1.0,LED,32 Inches,A+,JPEG,1366 x 768 pixels,Stereo,"Dolby, DTS-HD, Mp3_audio",Dolby Audio | DTS Virtual: X | DTS-HD,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,3 kg 920 g,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-11-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_mtf,2 AAA batteries required.,8 GB,178 Degrees,16:09,,20 Watts,No,,2.0,Yes,Redmi Smart TV 32,NTSC,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,Bluetooth,Ultra Bright Screen,240 Volts,50 Watts,8 Feet,178 Degrees,"AVI, MPEG",,,,,,,,,,,,,,,,,,,,
