,Brand,Series,Weight,RAM,price,Graphics,Disk,Battery,Display,Processor,Max_Memory_Support,product_url
0,ASUS,VivoBook 15 (2021),1.8,4,26990,4,256,6,17.7952755905512,2.8,8,https://amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_1?keywords=laptop&qid=1654755253&sr=8-1
1,ASUS,ASUS VivoBook 15 X512DA,3,,39490,,,,15.6,2.6,8,https://amazon.in/ASUS-VivoBook-X512DA-BQ313WS-15-6-inch-Fingerprint/dp/B0B2RWWN9P/ref=sr_1_omk_2?keywords=laptop&qid=1654755253&sr=8-2
2,Lenovo,IdeaPad Slim 3,1.7,8,46790,2,,8,15.6,1.6,12,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01BPIN/dp/B09JC1WJ5L/ref=sr_1_3?keywords=laptop&qid=1654755253&sr=8-3
3,ASUS,VivoBook 14 (2021),1.6,8,29990,8,1024,6,15.9842519685039,3.4,12,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV301W/dp/B09RQM1HHN/ref=sr_1_4?keywords=laptop&qid=1654755253&sr=8-4
4,Lenovo,IdeaPad 1 11IGL05,1.2,4,24490,,,8,11.6,2.8,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT009UIN/dp/B09V7ZJYBN/ref=sr_1_5?keywords=laptop&qid=1654755253&sr=8-5
5,Dell,Inspiron 3521,1.61,8,32990,,,,,1.1,32,https://amazon.in/Dell-Inspiron-PQC-N5030-Office21-D560756WIN9BE/dp/B09TNX9B9F/ref=sr_1_6?keywords=laptop&qid=1654755253&sr=8-6
6,HP,,1.46,8,38990,,,,14.0157480314961,3.7,16,https://amazon.in/HP-Micro-Edge-Anti-Glare-Display-Graphics/dp/B09MH9M5CV/ref=sr_1_7?keywords=laptop&qid=1654755253&sr=8-7
7,Lenovo,IdeaPad 3 14IGL05,1.5,4,26990,,256,14,14,2.8,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_8?keywords=laptop&qid=1654755253&sr=8-8
8,Acer,Aspire 3,1.9,4,24490,4,1024,8,14,1.2,12,https://amazon.in/Acer-Processor-Display-Windows-A314-22/dp/B09STP52KH/ref=sr_1_9?keywords=laptop&qid=1654755253&sr=8-9
9,ASUS,,1.6,8,35799,,1024,,15.9842519685039,4.1,12,https://amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EB342WS/dp/B09LJ4MLJW/ref=sr_1_10?keywords=laptop&qid=1654755253&sr=8-10
10,Lenovo,,1.7,8,35399,8,1024,,15.6,2.1,12,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01E7IN/dp/B09QT8Y9PP/ref=sr_1_11?keywords=laptop&qid=1654755253&sr=8-11
11,Dell,Inspiron 3525,1.68,8,32200,,,,15.6,2.3,16,https://amazon.in/Dell-Inspiron-Office21-Graphics-D560766WIN9BE/dp/B09TNWYR3Q/ref=sr_1_12?keywords=laptop&qid=1654755253&sr=8-12
12,ASUS,,2.3,4,57990,4,,,17.7952755905512,4.5,32,https://amazon.in/ASUS-i5-10300H-Graphics-Windows-FX506LH-HN258W/dp/B09RMTMBSM/ref=sr_1_13?keywords=laptop&qid=1654755253&sr=8-13
