product,rating,price,product_url
AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg13_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-193-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_atf_next
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg13_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_194_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-194-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_atf_next
iMee 80cm (32 inch) Premium Series Smart Android HD LED TV with SRS Surround Sound - BEE 5 Star Rated Energy Efficient (Black Colour)  ,5.0 out of 5 stars,"9,999",https://amazon.in/Premium-Smart-Android-Surround-Sound/dp/B09SG7XMJT/ref=sr_1_195?keywords=tv&qid=1660812315&sr=8-195
Croma 80 cm (32 Inches) Fire TV HD Ready Smart LED CREL7364 (Black) (2021 Model)  ,4.0 out of 5 stars,"12,990",https://amazon.in/Croma-Inches-Ready-Smart-CREL7364/dp/B09FF18HRF/ref=sr_1_198?keywords=tv&qid=1660812315&sr=8-198
Samsung 125 cm (50 inches) The Frame Series 4K Smart QLED TV QA50LS03BAKLXL (Black)  ,4.1 out of 5 stars,"79,990",https://amazon.in/Samsung-inches-Frame-Smart-QA50LS03BAKLXL/dp/B09Y65D2DN/ref=sr_1_201?keywords=tv&qid=1660812315&sr=8-201
TSeries (60cm) 24 Inch HD Ready LED TV TX24K USB HDMI VGA Supported. (Black)  ,,"8,990",https://amazon.in/TX-24K-T-Television-24inch-Dynamic/dp/B09KM55K67/ref=sr_1_202?keywords=tv&qid=1660812315&sr=8-202
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg13_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_203_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-203-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_mtf
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg13_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_204_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-204-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_mtf
TCL 138.7 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55C635 (Black)  ,4.5 out of 5 stars,"59,990",https://amazon.in/TCL-138-7-inches-Google-55C635/dp/B0B1DNQC21/ref=sr_1_208?keywords=tv&qid=1660812315&sr=8-208
TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P617 (Black)  ,3.8 out of 5 stars,"31,990",https://amazon.in/TCL-inches-Certified-Android-43P617/dp/B09V13V6MH/ref=sr_1_209?keywords=tv&qid=1660812315&sr=8-209
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg13_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_213_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-213-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_btf
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)  ,4.8 out of 5 stars,"86,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg13_1?ie=UTF8&adId=A03768442EQ5K80ORFOW4&url=%2FSony-Bravia-inches-Google-KD-65X74K%2Fdp%2FB09WN3SRC7%2Fref%3Dsr_1_214_sspa%3Fkeywords%3Dtv%26qid%3D1660812315%26sr%3D8-214-spons%26psc%3D1&qualifier=1660812315&id=6238218342144193&widgetName=sp_btf
AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg14_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_209_sspa%3Fkeywords%3Dtv%26qid%3D1660812318%26sr%3D8-209-spons%26psc%3D1&qualifier=1660812318&id=3116023885277859&widgetName=sp_atf_next
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg14_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_210_sspa%3Fkeywords%3Dtv%26qid%3D1660812318%26sr%3D8-210-spons%26psc%3D1&qualifier=1660812318&id=3116023885277859&widgetName=sp_atf_next
Sansui 109 cm (43 inches) 4K Ultra HD Certified Android LED TV JSW43ASUHD (Mystique Black) with Dolby Audio and DTS  ,3.4 out of 5 stars,"26,999",https://amazon.in/Sansui-Certified-Android-JSW43ASUHD-Mystique/dp/B09T2SJ5KG/ref=sr_1_211?keywords=tv&qid=1660812318&sr=8-211
Kodak 108 cm (43 inches) 4K Ultra HD Smart Android LED TV 43CAPRO5022 (Black) (2022 Model)  ,4.1 out of 5 stars,"25,999",https://amazon.in/Kodak-inches-Ultra-Android-43CAPRO5022/dp/B09PLDRLGF/ref=sr_1_212?keywords=tv&qid=1660812318&sr=8-212
Samsung 214 cm (85 inches) 4K Ultra HD Smart Neo QLED TV QA85QN90BAKXXL (Titan Black)  ,4.1 out of 5 stars,"6,69,990",https://amazon.in/Samsung-inches-Ultra-Smart-QA85QN90BAKXXL/dp/B09Y65HV6N/ref=sr_1_217?keywords=tv&qid=1660812318&sr=8-217
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg14_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_219_sspa%3Fkeywords%3Dtv%26qid%3D1660812318%26sr%3D8-219-spons%26psc%3D1&qualifier=1660812318&id=3116023885277859&widgetName=sp_mtf
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg14_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_220_sspa%3Fkeywords%3Dtv%26qid%3D1660812318%26sr%3D8-220-spons%26psc%3D1&qualifier=1660812318&id=3116023885277859&widgetName=sp_mtf
Sony Bravia 126 cm (50 inches) 4K Ultra HD Smart LED Google TV KD-50X80K (Black)  ,4.8 out of 5 stars,"79,790",https://amazon.in/Sony-Bravia-inches-Google-KD-50X80K/dp/B09ZLNNMGH/ref=sr_1_223?keywords=tv&qid=1660812318&sr=8-223
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/Coocaa-Frameless-Certified-Android-55Y72/dp/B0B45V22TX/ref=sr_1_224?keywords=tv&qid=1660812318&sr=8-224
Sony Bravia 80 cm (32 inches) HD Ready Smart LED TV 32W6100 (Black) (2020 Model)  ,4.6 out of 5 stars,"25,990",https://amazon.in/Sony-Bravia-inches-Ready-32W6100/dp/B084T8MD6P/ref=sr_1_227?keywords=tv&qid=1660812318&sr=8-227
Candes 102 cm (40 Inches) Full HD Smart Android LED TV CTPL40E1S (Black) (2021 Model)  ,3.6 out of 5 stars,"14,699",https://amazon.in/Candes-Ready-Smart-Android-CTPL40E1S/dp/B09D3KT452/ref=sr_1_228?keywords=tv&qid=1660812318&sr=8-228
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg14_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_229_sspa%3Fkeywords%3Dtv%26qid%3D1660812318%26sr%3D8-229-spons%26psc%3D1&qualifier=1660812318&id=3116023885277859&widgetName=sp_btf
AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_225_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-225-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_atf_next
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg15_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_226_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-226-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_atf_next
TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32P30S (Black)  ,4.2 out of 5 stars,"16,499",https://amazon.in/TCL-inches-Ready-Android-32P30S/dp/B07GTD1LHY/ref=sr_1_231?keywords=tv&qid=1660812320&sr=8-231
Candes 102 cm (40 Inches) Full HD Smart Android LED TV CTPL40E1S (Black) (2021 Model)  ,3.6 out of 5 stars,"14,699",https://amazon.in/Candes-Ready-Smart-Android-CTPL40E1S/dp/B09D3KT452/ref=sr_1_233?keywords=tv&qid=1660812320&sr=8-233
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg15_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_235_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-235-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_mtf
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg15_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_236_sspa%3Fkeywords%3Dtv%26qid%3D1660812320%26sr%3D8-236-spons%26psc%3D1&qualifier=1660812320&id=293584657745250&widgetName=sp_mtf
