product,rating,price,product_url
AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"36,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A072245884IUQUZQA39R&url=%2FAmazonBasics-139cm-inch-Ultra-Smart%2Fdp%2FB087JYRGDG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-1-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf
Croma 80 cm (32 Inches) HD Ready Certified Android Smart LED TV CREL032HOF024601 (Black) (2022 Model)  ,4.4 out of 5 stars,"12,490",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A100700211QBJ7DSEX052&url=%2FCroma-Inches-Certified-Android-CREL032HOF024601%2Fdp%2FB09X6W3TRF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-2-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_atf
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_3?keywords=tv&qid=1660812281&sr=8-3
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_5?keywords=tv&qid=1660812281&sr=8-5
Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black)  ,4.3 out of 5 stars,"22,999",https://amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_6?keywords=tv&qid=1660812281&sr=8-6
Toshiba 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35KP (Silver)  ,4.4 out of 5 stars,"22,990",https://amazon.in/Toshiba-inches-Android-43V35KP-Silver/dp/B0B21XL94T/ref=sr_1_7?keywords=tv&qid=1660812281&sr=8-7
OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black)  ,4.3 out of 5 stars,"29,999",https://amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=sr_1_8?keywords=tv&qid=1660812281&sr=8-8
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/Karbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less/dp/B0B466C3G4/ref=sr_1_9?keywords=tv&qid=1660812281&sr=8-9
Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black)  ,4.3 out of 5 stars,"13,999",https://amazon.in/inches-Ready-Smart-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_10?keywords=tv&qid=1660812281&sr=8-10
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-11-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_mtf
