product,rating,price,product_url
TCL 108 cm (43 inches) 4K Ultra HD Smart QLED Google TV 43C635 (Black)  ,4.2 out of 5 stars,"44,990",https://amazon.in/TCL-inches-Ultra-Google-43C635/dp/B0B1DR2BWX/ref=sr_1_97?keywords=tv&qid=1660812296&sr=8-97
Samsung 146 cm (58 inches) Crystal 4K Pro Series Ultra HD Smart LED TV UA58AUE70AKLXL (Black)  ,4.3 out of 5 stars,"54,490",https://amazon.in/Samsung-inches-Crystal-Ultra-UA58AUE70AKLXL/dp/B091GYMFFV/ref=sr_1_98?keywords=tv&qid=1660812296&sr=8-98
Samsung 108 cm (43 Inches) Crystal 7 Series 4K Ultra HD Smart LED TV 43AU7600 (Black) (2022 Model)  ,5.0 out of 5 stars,"38,490",https://amazon.in/Samsung-Inches-Crystal-Ultra-43AU7600/dp/B0B7RGY51N/ref=sr_1_99?keywords=tv&qid=1660812296&sr=8-99
AmazonBasics 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV AB43U20PS (Black)  ,4.0 out of 5 stars,"26,999",https://amazon.in/AmazonBasics-108cm-inch-Ultra-Smart/dp/B087JWLZ2K/ref=sr_1_100?keywords=tv&qid=1660812296&sr=8-100
Coocaa 138 cm (55 inches) Frameless Series 4k Ultra HD Smart Certified Android IPS Google LED TV 55Y72 (Black)  ,3.6 out of 5 stars,"39,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg6_1?ie=UTF8&adId=A05501107E9CDXMXKF91&url=%2FCoocaa-Frameless-Certified-Android-55Y72%2Fdp%2FB0B45V22TX%2Fref%3Dsr_1_101_sspa%3Fkeywords%3Dtv%26qid%3D1660812296%26sr%3D8-101-spons%26psc%3D1&qualifier=1660812296&id=8093922834385498&widgetName=sp_btf
AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black)  ,4.0 out of 5 stars,"13,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A07230511XJVOGA7KXX4I&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-97-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_atf_next
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg7_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-98-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_atf_next
Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X75K (Black) (2022 Model) | with Alexa Compatibility  ,4.8 out of 5 stars,"94,990",https://amazon.in/Sony-Bravia-inches-KD-65X75K-Compatibility/dp/B09WN61PHN/ref=sr_1_99?keywords=tv&qid=1660812299&sr=8-99
Vu 139 cm (55 inches) The Masterpiece Glo Series 4K Ultra HD Smart Android QLED TV 55QMP (Armani Gold) (2022 Model) | Built in 4.1 Speaker  ,4.6 out of 5 stars,"74,990",https://amazon.in/inches-Masterpiece-Android-55QMP-Speaker/dp/B09TBCKPLF/ref=sr_1_100?keywords=tv&qid=1660812299&sr=8-100
Samsung 125 cm (50 inches) Crystal 4K Series Ultra HD Smart LED TV UA50AUE60AKLXL (Black)  ,4.3 out of 5 stars,"44,990",https://amazon.in/Samsung-inches-Crystal-Ultra-UA50AUE60AKLXL/dp/B092B6R27Y/ref=sr_1_101?keywords=tv&qid=1660812299&sr=8-101
TCL 126 cm (50 inches) Remote Less Voice Control Edition AI 4K Ultra HD Certified Android Smart LED TV 50P715 (Silver)  ,4.2 out of 5 stars,"39,990",https://amazon.in/TCL-inches-Certified-Android-50P715/dp/B08BS8KT8X/ref=sr_1_102?keywords=tv&qid=1660812299&sr=8-102
Redmi 164 cm (65 inches) 4K Ultra HD Android Smart LED TV X65 | L65M6-RA (Black)  ,4.2 out of 5 stars,"59,999",https://amazon.in/Redmi-inches-Ultra-Android-L65M6-RA/dp/B08Y653FX4/ref=sr_1_103?keywords=tv&qid=1660812299&sr=8-103
Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart Android LED TV KD-43X74 (Black) (2021 Model) | with Alexa Compatibility  ,4.7 out of 5 stars,"43,990",https://amazon.in/Sony-Bravia-Android-KD-43X74-Compatibility/dp/B0918S668P/ref=sr_1_104?keywords=tv&qid=1660812299&sr=8-104
Vu 164cm (65inches) Cinema TV Action Series 4K Ultra HD LED Smart Android TV 65LX (Black) (2021 Model) I With 100 watt Front Soundbar  ,4.4 out of 5 stars,"59,990",https://amazon.in/65inches-Cinema-Android-65LX-Soundbar/dp/B08MM6BYY1/ref=sr_1_105?keywords=tv&qid=1660812299&sr=8-105
Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black)  ,4.2 out of 5 stars,"26,990",https://amazon.in/Hisense-inches-Certified-Android-43A6GE/dp/B099K9ZX65/ref=sr_1_106?keywords=tv&qid=1660812299&sr=8-106
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-107-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_mtf
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dtv%26qid%3D1660812299%26sr%3D8-108-spons%26psc%3D1&qualifier=1660812299&id=6433222242917146&widgetName=sp_mtf
TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black)  ,4.3 out of 5 stars,"31,990",https://amazon.in/TCL-inches-Certified-Android-43P615/dp/B08FD2VSD9/ref=sr_1_109?keywords=tv&qid=1660812299&sr=8-109
Hisense 126 cm (50 inches) 4K Ultra HD Smart Certified Android LED TV 50A6GE (Black) (2021 Model) | With Dolby Vision and Atmos  ,4.2 out of 5 stars,"30,990",https://amazon.in/Hisense-inches-Certified-Android-50A6GE/dp/B092ZYTN2J/ref=sr_1_110?keywords=tv&qid=1660812299&sr=8-110
Sony Bravia 189 cm (75 inches) XR Series 4K Ultra HD Smart Full Array LED Google TV XR-75X90K (Black)  ,4.6 out of 5 stars,"2,84,990",https://amazon.in/Sony-Bravia-inches-Google-XR-75X90K/dp/B09ZLPPXQ5/ref=sr_1_111?keywords=tv&qid=1660812299&sr=8-111
Samsung 214 cm (85 inches) 8K Ultra HD Smart Neo QLED TV QA85QN900AKXXL (Steel)  ,5.0 out of 5 stars,"12,82,490",https://amazon.in/Samsung-Smart-QA85QN800AKXXL-Steel-Model/dp/B0928K7LKW/ref=sr_1_112?keywords=tv&qid=1660812299&sr=8-112
eAirtec 81 cm (32 Inches) Cloud Series HD Ready Smart LED TV 32DJSMARTCloud (Black) (2022 Model) | With Voice Command Remote  ,3.9 out of 5 stars,"9,250",https://amazon.in/eAirtec-Inches-32DJSMARTCloud-Command-Remote/dp/B09P1122WS/ref=sr_1_113?keywords=tv&qid=1660812299&sr=8-113
