id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm,image_url,rating
0,ASUS,VivoBook 15 (2021),1.8,4,26990,4,256,6,17.79527559,2.8,8,https://amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_1?keywords=laptop&qid=1654755253&sr=8-1,1.378238342,1,1.072164948,1.25,1.2,1.2,2,1.472222222,1.142857143,https://images-eu.ssl-images-amazon.com/images/I/414057taYKL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
1,ASUS,ASUS VivoBook 15 X512DA,3,8,39490,0,512,8,15.6,2.6,8,https://amazon.in/ASUS-VivoBook-X512DA-BQ313WS-15-6-inch-Fingerprint/dp/B0B2RWWN9P/ref=sr_1_omk_2?keywords=laptop&qid=1654755253&sr=8-2,2,1.333333333,1.201030928,1,1.466666667,1.4,1.645653279,1.416666667,1.142857143,https://m.media-amazon.com/images/I/41Mdb2c+5gL._SX300_SY300_.jpg,4.1 out of 5 stars
2,Lenovo,IdeaPad Slim 3,1.7,8,46790,2,512,8,15.6,1.6,12,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01BPIN/dp/B09JC1WJ5L/ref=sr_1_3?keywords=laptop&qid=1654755253&sr=8-3,1.32642487,1.333333333,1.27628866,1.125,1.466666667,1.4,1.645653279,1.138888889,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41PnIUzyYML._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
3,ASUS,VivoBook 14 (2021),1.6,8,29990,8,1024,6,15.98425197,3.4,12,https://amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV301W/dp/B09RQM1HHN/ref=sr_1_4?keywords=laptop&qid=1654755253&sr=8-4,1.274611399,1.333333333,1.103092784,1.5,2,1.2,1.707676665,1.638888889,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41H42FebSmL._SX300_SY300_QL70_ML2_.jpg,3.3 out of 5 stars
4,Lenovo,IdeaPad 1 11IGL05,1.2,4,24490,0,512,8,11.6,2.8,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT009UIN/dp/B09V7ZJYBN/ref=sr_1_5?keywords=laptop&qid=1654755253&sr=8-5,1.067357513,1,1.046391753,1,1.466666667,1.4,1,1.472222222,1,https://m.media-amazon.com/images/I/41F52ef+pdL._SX300_SY300_.jpg,4.0 out of 5 stars
5,Dell,Inspiron 3521,1.61,8,32990,0,512,8,15.6,1.1,32,https://amazon.in/Dell-Inspiron-PQC-N5030-Office21-D560756WIN9BE/dp/B09TNX9B9F/ref=sr_1_6?keywords=laptop&qid=1654755253&sr=8-6,1.279792746,1.333333333,1.134020619,1,1.466666667,1.4,1.645653279,1,2,https://images-eu.ssl-images-amazon.com/images/I/41e6THlQznL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
6,HP,laptop,1.46,8,38990,0,512,8,14.01574803,3.7,16,https://amazon.in/HP-Micro-Edge-Anti-Glare-Display-Graphics/dp/B09MH9M5CV/ref=sr_1_7?keywords=laptop&qid=1654755253&sr=8-7,1.202072539,1.333333333,1.195876289,1,1.466666667,1.4,1.38993391,1.722222222,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/51mDPrTCtgL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
7,Lenovo,IdeaPad 3 14IGL05,1.5,4,26990,0,256,14,14,2.8,4,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_8?keywords=laptop&qid=1654755253&sr=8-8,1.222797927,1,1.072164948,1,1.2,2,1.387391967,1.472222222,1,https://images-eu.ssl-images-amazon.com/images/I/41NvMZxjbKL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
8,Acer,Aspire 3,1.9,4,24490,4,1024,8,14,1.2,12,https://amazon.in/Acer-Processor-Display-Windows-A314-22/dp/B09STP52KH/ref=sr_1_9?keywords=laptop&qid=1654755253&sr=8-9,1.430051813,1,1.046391753,1.25,2,1.4,1.387391967,1.027777778,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41TqYg8R2cL._SX300_SY300_QL70_ML2_.jpg,3.9 out of 5 stars
9,ASUS,laptop,1.6,8,35799,0,1024,8,15.98425197,4.1,12,https://amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EB342WS/dp/B09LJ4MLJW/ref=sr_1_10?keywords=laptop&qid=1654755253&sr=8-10,1.274611399,1.333333333,1.162979381,1,2,1.4,1.707676665,1.833333333,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.0 out of 5 stars
